央视,#genre#
延边卫视,http://home.cola-service.com:51973/rtp/233.18.204.155:5140

东方卫视,http://183.129.255.66:8480/hls/30/index.m3u8
江苏卫视,http://183.129.255.66:8480/hls/33/index.m3u8
安徽卫视,http://183.129.255.66:8480/hls/28/index.m3u8
浙江卫视,http://183.129.255.66:8480/hls/27/index.m3u8
广东卫视,http://183.129.255.66:8480/hls/31/index.m3u8
河北卫视,http://183.129.255.66:8480/hls/39/index.m3u8
四川卫视,http://183.129.255.66:8480/hls/36/index.m3u8
重庆卫视,http://183.129.255.66:8480/hls/37/index.m3u8
云南卫视,http://183.129.255.66:8480/hls/40/index.m3u8
天津卫视,http://183.129.255.66:8480/hls/42/index.m3u8
河南卫视,http://183.129.255.66:8480/hls/38/index.m3u8
内蒙古卫视,http://183.129.255.66:8480/hls/48/index.m3u8
江西卫视,http://183.129.255.66:8480/hls/44/index.m3u8
陕西卫视,http://183.129.255.66:8480/hls/43/index.m3u8
北京卫视,http://183.129.255.66:8480/hls/29/index.m3u8
深圳卫视,http://183.129.255.66:8480/hls/34/index.m3u8
湖北卫视,http://183.129.255.66:8480/hls/41/index.m3u8
山东卫视,http://183.129.255.66:8480/hls/35/index.m3u8
湖南卫视,http://183.129.255.66:8480/hls/32/index.m3u8
黑龙江卫视,http://183.129.255.66:8480/hls/47/index.m3u8
辽宁卫视,http://183.129.255.66:8480/hls/46/index.m3u8
